,College/University Name,College Type,GPA,MCAT,Class Size
0,"Albany School of Medicine (Albany, NY)",Private,3.60,510,134
1,"Augusta Medical College of Georgia (Augusta, GA)",Public,3.79,510,230
2,"Boston University School of Medicine (Boston, MA)",Private,3.81,517,180
3,"California Northstate University School of Medicine (Elk Grove, CA)",Private,3.58,513,90
4,"Central Michigan University College of Medicine (Mt Pleasant, MI)",Public,3.70,504,101
5,"Cooper Medical School of Rowan University (Westville, NJ)",Public,3.69,507,88
6,"Dartmouth College Geisel School of Medicine (Hanover, NH)",Private,3.78,515,92
7,"Duke University School of Medicine (Durham, NC)",Private,3.85,516,115
8,"East Tennessee State Quillen College of Medicine (Johnson City, TN)",Public,3.82,506,72
9,"Emory University School of Medicine (Atlanta, GA)",Private,3.79,515,138
10,"Florida International University Herbert Wertheim College of Medicine (Miami, FL)",Public,3.71,510,126
11,"Geisinger Commonwealth Medical College (Scranton, PA)",Private,3.72,510,108
12,"Georgetown University School of Medicine (Washington, D.C.)",Private,3.74,512,196
13,"Hofstra University Zucker School of Medicine (Hempstead, NY)",Private,3.78,516,99
14,"Icahn School of Medicine at Mount Sinai (New York, NY)",Private,3.84,519,140
15,"Johns Hopkins University School of Medicine (Baltimore, MD)",Private,3.92,519,120
16,"Louisiana State University School of Medicine (New Orleans, LA)",Public,3.73,509,197
17,"Loyola University Stritch School of Medicine (Maywood, IL)",Private,3.71,507,159
18,"Mayo Clinic School of Medicine (Rochester, MN)",Private,3.85,513,46
19,"Medical College of Wisconsin (Milwaukee, WI)",Private,3.76,510,261
20,"Meharry Medical College (Nashville, TN)",Private,3.52,499,108
21,"Michigan State University College of Human Medicine (East Lansing, MI)",Public,3.71,507,177
22,"New York Medical College (Valhalla, NY)",Private,3.65,512,213
23,"North Dakota School of Medicine (Grand Forks, ND)",Public,3.79,503,78
24,"Northwestern University Feinberg School of Medicine (Chicago, IL)",Private,3.50,506,164
25,"Northwestern University Feinberg School of Medicine (Chicago, IL)",Private,3.50,506,164
26,"Northwestern University Feinberg School of Medicine (Chicago, IL)",Private,3.50,506,164
27,"Northwestern University Feinberg School of Medicine (Chicago, IL)",Private,3.50,506,164
28,"Northwestern University Feinberg School of Medicine (Chicago, IL)",Private,3.50,506,164
29,"Northwestern University Feinberg School of Medicine (Chicago, IL)",Private,3.50,506,164
30,"Northwestern University Feinberg School of Medicine (Chicago, IL)",Private,3.50,506,164
31,"Northwestern University Feinberg School of Medicine (Chicago, IL)",Private,3.50,506,164
32,"Northwestern University Feinberg School of Medicine (Chicago, IL)",Private,3.50,506,164
33,"Northwestern University Feinberg School of Medicine (Chicago, IL)",Private,3.50,506,164
34,"Northwestern University Feinberg School of Medicine (Chicago, IL)",Private,3.50,506,164
35,"Northwestern University Feinberg School of Medicine (Chicago, IL)",Private,3.50,506,164
36,"Northwestern University Feinberg School of Medicine (Chicago, IL)",Private,3.50,506,164
37,"Northwestern University Feinberg School of Medicine (Chicago, IL)",Private,3.50,506,164
38,"Northwestern University Feinberg School of Medicine (Chicago, IL)",Private,3.50,506,164
39,"Northwestern University Feinberg School of Medicine (Chicago, IL)",Private,3.50,506,164
40,"Northwestern University Feinberg School of Medicine (Chicago, IL)",Private,3.50,506,164
41,"Northwestern University Feinberg School of Medicine (Chicago, IL)",Private,3.50,506,164
42,"Northwestern University Feinberg School of Medicine (Chicago, IL)",Private,3.50,506,164
43,"Northwestern University Feinberg School of Medicine (Chicago, IL)",Private,3.50,506,164
44,"Northwestern University Feinberg School of Medicine (Chicago, IL)",Private,3.50,506,164
45,"Northwestern University Feinberg School of Medicine (Chicago, IL)",Private,3.50,506,164
46,"Northwestern University Feinberg School of Medicine (Chicago, IL)",Private,3.50,506,164
47,"Northwestern University Feinberg School of Medicine (Chicago, IL)",Private,3.50,506,164
48,"Northwestern University Feinberg School of Medicine (Chicago, IL)",Private,3.50,506,164
49,"Northwestern University Feinberg School of Medicine (Chicago, IL)",Private,3.50,506,164
